Model,TechNode,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Operations,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,DRAM_to_Xbar,Xbar_to_ADC,OutputStationary,PE_to_Output,Weight_to_PE,ADC_to_GB,PE_to_Register,Register_to_PE
densenet40,7,128,1,WS,QConv2d_130791091338752,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091585152,1.3e-05,0.0,786432,1380288,786432,690144,460096,138028,0,0,0,786432,1376256,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091585344,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091585920,1.4e-05,0.0,786432,1577472,786432,788736,525824,157747,0,0,0,786432,1572864,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091586112,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091586688,1.3e-05,0.0,786432,1774656,786432,887328,591552,177465,0,0,0,786432,1769472,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091586880,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091587744,1.5e-05,0.0,983040,1973280,983040,986640,657760,197328,0,0,0,983040,1966080,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091588272,7e-06,0.0,196608,248640,196608,124320,82880,24864,0,0,0,196608,245760,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091588464,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091589040,7e-06,0.0,196608,298368,196608,149184,99456,29836,0,0,0,196608,294912,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091589232,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091589808,7e-06,0.0,196608,348096,196608,174048,116032,34809,0,0,0,196608,344064,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091590000,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091590576,7e-06,0.0,196608,397824,196608,198912,132608,39782,0,0,0,196608,393216,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091590768,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091591344,6e-06,0.0,196608,447552,196608,223776,149184,44755,0,0,0,196608,442368,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091591536,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091592112,7e-06,0.0,196608,497280,196608,248640,165760,49728,0,0,0,196608,491520,0,0,0
densenet40,7,128,1,WS,QConv2d_130791091592304,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,7,128,1,WS,QLinear_130791091593072,4e-06,0.0,640,9768,640,4884,3256,976,0,0,0,640,8448,0,0,0
densenet40,22,256,2,IMC,QConv2d_135215542100640,1.6e-05,1.3e-05,1572864,197256,1572864,98628,65752,19725,196608,1572864,0,0,0,1572864,0,0
densenet40,22,256,2,IMC,QConv2d_135215542101216,1e-05,2.5e-05,3145728,1574016,3145728,787008,524672,157401,1572864,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542101408,3.3e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542101984,1e-05,2.5e-05,3145728,2361024,3145728,1180512,787008,236102,2359296,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542102176,1e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
